"Moscow Cinema Theaters, 1946-1955",,,,,,,,
1946,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Колизей / Kolizeĭ,"Moscow, SU",Чистые пруды 19-а,"55.761781, 37.645941",,1,1000,Union Cinema,RGALI. F. 2473. Op. 1. D. 286. L. 29-30
Метрополь / Metropol',"Moscow, SU",Пл. Свердлова 2/4,"55.758448, 37.621669",,1,680,Union Cinema,RGALI. F. 2473. Op. 1. D. 286. L. 29-30
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1 ","55.769494, 37.593533",,1,747,Union Cinema,RGALI. F. 2473. Op. 1. D. 286. L. 29-30
Ударник / Udarnik,"Moscow, SU","ул. Серафимовича, 2","55.744450, 37.613072",,1,1587,Union Cinema,RGALI. F. 2473. Op. 1. D. 286. L. 29-30
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,1,489,,
Аврора / Avrora,"Moscow, SU","ул. Чернышевского, 16","55.759157, 37.645708",,3,338,,
Арс / Ars,"Moscow, SU","Арбат, 51","55.74806146601852, 37.58749976700312",,2,254,,
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516",,2,441,,
Востоккино / Vostokkino,"Moscow, SU",Sverdlova 1/8,"55.76037895000343, 37.61916289759364",,1,443,Будущий кинотеатр Стереокино,
Динамо / Dinamo,"Moscow, SU",Ленинградский,"55.79618060753062, 37.555168887144774",,1,553,,
Диск / Disk,"Moscow, SU","Марьинская ул, 23","55.809621, 37.634416",,3,216,,
Заря / Zaria,"Moscow, SU",Пятницкая ул. 2,"55.745524, 37.626412",,3,261,,
им. III Интернационала / im. III Internatsionala,"Moscow, SU","Спартаковская, 21","55.77323586956071, 37.67796359405088",,2,428,,
Кадр / Kadr,"Moscow, SU","Плющиха, 11","55.744520, 37.579277	",,3,314,,
